account_value,date
10000.0,2023-03-23 19:00:00
9994.15725,2023-03-23 19:05:00
9986.42325,2023-03-23 19:10:00
9984.696,2023-03-23 19:15:00
9982.36825,2023-03-23 19:20:00
9975.5405,2023-03-23 19:25:00
9961.815,2023-03-23 19:30:00
9972.794249999999,2023-03-23 19:35:00
9970.46875,2023-03-23 19:40:00
9942.94325,2023-03-23 19:45:00
9938.62475,2023-03-23 19:50:00
9949.903054528808,2023-03-23 19:55:00
9940.114682329711,2023-03-23 20:00:00
9906.878709710936,2023-03-23 20:05:00
9943.314366449218,2023-03-23 20:10:00
9969.033653558594,2023-03-23 20:15:00
9975.463475335937,2023-03-23 20:20:00
9980.82166015039,2023-03-23 20:25:00
9990.466392816406,2023-03-23 20:30:00
9994.75294066797,2023-03-23 20:35:00
9993.681303705078,2023-03-23 20:40:00
9999.039488519531,2023-03-23 20:45:00
9987.251481927733,2023-03-23 20:50:00
9966.890379632812,2023-03-23 20:55:00
9966.890379632812,2023-03-23 21:00:00
10030.11696044336,2023-03-23 21:05:00
10030.11696044336,2023-03-23 21:10:00
10034.403508294921,2023-03-23 21:15:00
10014.042405999999,2023-03-23 21:20:00
10014.042405999999,2023-03-23 21:25:00
9999.039488519531,2023-03-23 21:30:00
9969.033653558594,2023-03-23 21:35:00
9944.38600341211,2023-03-23 21:40:00
9939.027818597655,2023-03-23 21:45:00
9937.956181634765,2023-03-23 21:50:00
9937.956181634765,2023-03-23 21:55:00
9955.102373041016,2023-03-23 22:00:00
9948.672551263671,2023-03-23 22:05:00
9933.669633783202,2023-03-23 22:10:00
9933.669633783202,2023-03-23 22:15:00
9933.669633783202,2023-03-23 22:20:00
9933.669633783202,2023-03-23 22:25:00
9933.669633783202,2023-03-23 22:30:00
9954.030736078124,2023-03-23 22:35:00
9979.7500231875,2023-03-23 22:40:00
9979.7500231875,2023-03-23 22:45:00
9979.7500231875,2023-03-23 22:50:00
10012.97076903711,2023-03-23 22:55:00
10029.045323480468,2023-03-23 23:00:00
10033.331871332031,2023-03-23 23:05:00
10034.403508294921,2023-03-23 23:10:00
10034.403508294921,2023-03-23 23:15:00
10005.469310296874,2023-03-23 23:20:00
10017.257316888672,2023-03-23 23:25:00
10017.257316888672,2023-03-23 23:30:00
10017.257316888672,2023-03-23 23:35:00
9997.967851556641,2023-03-23 23:40:00
9997.967851556641,2023-03-23 23:45:00
10040.833330072264,2023-03-23 23:50:00
9999.039488519531,2023-03-23 23:55:00
10029.045323480468,2023-03-24 00:00:00
10029.045323480468,2023-03-24 00:05:00
10116.9195544375,2023-03-24 00:10:00
10210.151970208984,2023-03-24 00:15:00
10218.72506591211,2023-03-24 00:20:00
10194.077415765625,2023-03-24 00:25:00
10203.72214843164,2023-03-24 00:30:00
10240.157805169922,2023-03-24 00:35:00
10259.447270501953,2023-03-24 00:40:00
10217.65342894922,2023-03-24 00:45:00
10229.441435541015,2023-03-24 00:50:00
10234.799620355469,2023-03-24 00:55:00
10240.157805169922,2023-03-24 01:00:00
10236.94289428125,2023-03-24 01:05:00
10216.581791986328,2023-03-24 01:10:00
10220.86833983789,2023-03-24 01:15:00
10201.578874505858,2023-03-24 01:20:00
10229.441435541015,2023-03-24 01:25:00
10191.934141839844,2023-03-24 01:30:00
10186.57595702539,2023-03-24 01:35:00
10186.57595702539,2023-03-24 01:40:00
10186.57595702539,2023-03-24 01:45:00
10186.57595702539,2023-03-24 01:50:00
10186.57595702539,2023-03-24 01:55:00
10186.57595702539,2023-03-24 02:00:00
10186.57595702539,2023-03-24 02:05:00
10186.57595702539,2023-03-24 02:10:00
10186.57595702539,2023-03-24 02:15:00
10173.716313470704,2023-03-24 02:20:00
10187.647593988282,2023-03-24 02:25:00
10188.71923095117,2023-03-24 02:30:00
10188.71923095117,2023-03-24 02:35:00
10210.151970208984,2023-03-24 02:40:00
10219.796702874999,2023-03-24 02:45:00
10219.796702874999,2023-03-24 02:50:00
10219.796702874999,2023-03-24 02:55:00
10240.157805169922,2023-03-24 03:00:00
10082.627171625,2023-03-24 03:05:00
10120.134465326173,2023-03-24 03:10:00
10060.122795404297,2023-03-24 03:15:00
10060.122795404297,2023-03-24 03:20:00
10052.621336664062,2023-03-24 03:25:00
10003.326036371094,2023-03-24 03:30:00
9956.174010003906,2023-03-24 03:35:00
9989.394755853515,2023-03-24 03:40:00
9935.812907708983,2023-03-24 03:45:00
9939.027818597655,2023-03-24 03:50:00
9939.027818597655,2023-03-24 03:55:00
